Processes: 410 total, 2 running, 408 sleeping, 1401 threads 
2018/10/10 12:34:45
Load Avg: 0.85, 0.82, 0.82 
CPU usage: 10.34% user, 20.68% sys, 68.96% idle 
SharedLibs: 246M resident, 61M data, 40M linkedit.
MemRegions: 65420 total, 1337M resident, 91M private, 1422M shared.
PhysMem: 8012M used (2210M wired), 179M unused.
VM: 1985G vsize, 1302M framework vsize, 2450971(0) swapins, 2752124(0) swapouts.
Networks: packets: 5612698/5892M in, 3672014/2386M out.
Disks: 2535795/38G read, 2289854/39G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID FAULTS     COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
36578  MTLCompilerServi 0.0  00:00.07 2     2   24+    5564K+ 0B     5540K+ 36578 1     sleeping *0[2+]       0.00000 0.00000    501 6206+      442+    135+       89+        1522+      377+       349+       344+    21       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
36575  LocationMenu     0.0  00:22.68 4     2   173+   13M+   0B     8104K+ 36575 1     sleeping *0[1481+]    0.00000 0.00000    501 34212+     289+    99741+     39378+     2577987+   366629+    212653+    172+    18107    0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
36574  com.apple.Weathe 0.0  00:02.30 2     2   48+    3000K+ 0B     2524K+ 36574 1     sleeping *0[5+]       0.00000 0.00000    501 13469+     214+    563+       619+       54144+     1572+      34578+     48+     17379    0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
36560  trustd           0.0  00:01.30 2     2   41+    4564K+ 0B     3476K+ 36560 1     sleeping *0[1+]       0.00000 0.00000    205 19523+     190+    1119+      4685+      19030+     6894+      11992+     81+     343      0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
36559  cfprefsd         0.0  00:00.36 2     2   35+    624K+  0B     304K+  36559 1     sleeping *0[1018+]    0.00000 0.00000    205 3131+      96+     5960+      1656+      9180+      6188+      3517+      0       24       0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
36558  secinitd         0.0  00:00.49 2     2   43+    4256K+ 0B     4124K+ 36558 1     sleeping *0[1+]       0.00000 0.00000    205 12342+     174+    449+       4505+      13071+     5130+      8960+      0       193      0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
36557  com.apple.geod   0.0  00:04.45 3     1   55+    10M+   0B     7832K+ 36557 1     sleeping *0[3+]       0.00000 0.00000    205 37146+     351+    1674+      934+       82777+     4991+      44478+     473+    20874    0.0   0      0      _locationd         N/A    N/A   N/A   N/A   N/A   N/A  
36543  USBAgent         0.0  00:00.06 2     2   30+    2192K+ 0B     2160K+ 36543 1     sleeping  0[0]        0.00000 0.00000    501 4231+      149+    259+       157+       1707+      603+       560+       8+      20       0.0   0      0      maximsalo          N/A    N/A   N/A   N/A   N/A   N/A  
34749  sandboxd         0.0  00:12.87 6     5   70+    16M+   0B     14M+   34749 1     sleeping *0[1+]       0.00000 0.00000    0   219882+    166+    45595+     20912+     310724+    60229+     110671+    3716+   15866    0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
23542  top              0.0  00:00.22 1/1   0   14+    2516K+ 0B     0B     23542 10700 running  *0[1+]       0.00000 0.00000    0   1400+      97+     173488+    86743+     1895+      89428+     108+       0       0        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
